0	16298	199154	Colonial American literature	American literature
1	15684	14513559	environmental research	Environmental Research
2	1103	2864	archaeoastronomy	Archaeoastronomy
3	12197	1034	Ancestral Pueblo	Ancient Pueblo Peoples
4	16589	1056700	intimate relationships	Intimate relationship
5	12200	14609061	cultural astronomy	Cultural astronomy
6	16949	80381	health and wellness	Health
7	12195	3680869	lunar standstill	Lunar standstill
8	12181	234798	bereavement	Grief
9	12185	234393	human dignity	Dignity
10	15239	2459876	intramurals	Intramural sports
11	15966	2301601	Delinquency	Delinquent
12	12201	1034	Anasazi	Ancient Pueblo Peoples
13	2868	25084	public speaking	Public speaking
14	2265	18761076	general chemistry	General chemistry
15	2056	73165	infancy	Infant
16	16119	6906424	academic libraries	Academic library
17	12198	18951655	archeology	Archaeology
18	12130	605484	Sarah Orne Jewett	Sarah Orne Jewett
19	33	56825	eating disorders	Eating disorder
20	31	462933	body image	Body image
21	1226	7398	computer security	Computer security
22	15	176320	online communities	Virtual community
23	12199	10100	equinox	Equinox
24	12196	28483	solstice	Solstice
25	29	34327569	social networks	Social network
26	12182	4430256	human development	Human development
27	1100	50650	astronomy	Astronomy
28	12183	8221	dying	Death
29	12232	19826061	tropical ecology	Tropical ecology
30	2133	14400	history of science	History of science
31	12216	286378	international focus	Ford Focus
32	12184	4744384	human nature	Human nature
33	12218	722551	production development	Fire in the Sky
34	1738	21217	Native Americans	Native Americans in the United States
35	12205	903	farmland	Arable land
36	15242	27672	sailing	Sailing
37	465	45086	biodiversity	Biodiversity
38	12233	9632	ecosystems	Ecosystem
39	458	5180	chemistry	Chemistry
40	2151	21393077	microbiology.	Microbiology
41	12225	199264	course design	Designer
42	15685	7484714	forest management	Forest management
43	889	14533	India	India
44	12210	36541	Transcontinental Railroad	First Transcontinental Railroad
45	10732	20913771	Theatre	Theatre
46	12227	216260	horticulture	Horticulture
47	12228	11984	gardening	Gardening
48	16857	374575	bowl lyres	Gudok
49	16120	5587818	library buildings	Letterkenny Library and Arts Centre
50	12204	27586972	3D installation	Nvidia 3D Vision
51	36	850705	feminist identity	Feminist geography
52	15967	3588536	and Drugs and Alcohol	Poly drug use
53	15001	865608	Teaching Introductory Biology	Kenneth R. Miller
